02/04/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,817.12
02/04/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,349.64
02/04/2022,Porter Ranch Subway IN CO ID,Meals & Entertainment,18.55
02/07/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,2144.84
02/07/2022,SUBWAY CARD PROG DES,Meals & Entertainment,61.81
02/07/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,42.55
02/08/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,772.3
02/08/2022,anet kesisoglu CO ID,Meals & Entertainment,23.39
02/09/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,770.65
02/09/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,31.4
02/10/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,896.27
02/10/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,13.98
02/11/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,950.64
02/11/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,226.62
02/11/2022,Porter Ranch Subway IN CO ID,Meals & Entertainment,51.67
02/11/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,40.99
02/14/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,2585.82
02/14/2022,BKOFAMERICA MOBILE ,Meals & Entertainment,740.52
02/14/2022,SUBWAY CARD PROG DES,Meals & Entertainment,170.84
02/14/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,45.79
02/15/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,771.02
02/15/2022,Online Banking transfer from CHK ,Meals & Entertainment,500.0
02/15/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,34.23
02/15/2022,anet kesisoglu CO ID,Meals & Entertainment,8.06
02/16/2022,Deposit,Meals & Entertainment,3300.0
02/16/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,775.37
02/16/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,19.87
02/17/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,850.97
02/17/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,7.74
02/18/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,856.7
02/18/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,121.53
02/18/2022,Porter Ranch Subway IN CO ID,Meals & Entertainment,86.2
02/18/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,56.77
02/22/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,3353.69
02/22/2022,SUBWAY CARD PROG DES,Meals & Entertainment,45.58
02/22/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,33.59
02/23/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,870.76
02/23/2022,EZCATER INC DES,Food Purchases,247.13
02/23/2022,anet kesisoglu CO ID,Meals & Entertainment,44.14
02/23/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,12.72
02/24/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,711.32
02/24/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,43.94
02/25/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,861.8
02/25/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,201.02
02/25/2022,Porter Ranch Subway IN CO ID,Meals & Entertainment,27.96
02/28/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,2098.96
02/28/2022,SUBWAY CARD PROG DES,Meals & Entertainment,120.96
02/28/2022,Online Banking transfer from CHK ,Meals & Entertainment,120.0
02/28/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,9.75
03/01/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,847.79
03/01/2022,Online Banking transfer from CHK ,Meals & Entertainment,500.0
03/01/2022,Online Banking transfer from CHK ,Meals & Entertainment,250.0
03/01/2022,anet kesisoglu CO ID,Meals & Entertainment,36.36
03/02/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,798.05
03/02/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,14.87
03/03/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,977.05
03/03/2022,Online Banking transfer from CHK ,Meals & Entertainment,225.0
03/03/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,18.65
03/04/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,1042.55
03/04/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,230.64
03/04/2022,Online Banking transfer from CHK ,Meals & Entertainment,100.0
03/04/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,12.08
03/07/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,2451.01
03/07/2022,SUBWAY CARD PROG DES,Meals & Entertainment,106.18
03/07/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,93.03
03/07/2022, REFUND PORTER RANCH CA DEBIT CARD ,Meals & Entertainment,5.48
03/08/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,720.54
03/08/2022,anet kesisoglu CO ID,Meals & Entertainment,49.36
03/08/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,23.32
03/09/2022,Deposit,Meals & Entertainment,2214.0
03/09/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,1002.72
03/09/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,36.04
03/09/2022, REFUND PORTER RANCH CA DEBIT CARD ,Meals & Entertainment,23.91
03/10/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,785.98
03/10/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,3.72
03/11/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,1036.02
03/11/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,168.99
03/11/2022,Porter Ranch Subway IN CO ID,Meals & Entertainment,78.56
03/11/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,36.3
03/14/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,2391.67
03/14/2022,Online Banking transfer from CHK ,Meals & Entertainment,200.0
03/14/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,67.9
03/14/2022,SUBWAY CARD PROG DES,Meals & Entertainment,49.12
03/15/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,845.68
